Caller,Callee,Call Type,Radare2,Ghidra,Angr_Fast,Angr_Emul,GCC
ada_demangle,imp.strlen,High-High,Y,N,N,N,N
ada_demangle,imp.strncmp,High-High,Y,N,N,N,N
ada_demangle,xmalloc,High-High,Y,N,N,N,N
add_line_info,bfd_alloc,High-High,Y,N,N,N,N
add_line_info,bfd_malloc,High-High,Y,N,N,N,N
add_line_info,imp.strcpy,High-High,Y,N,N,N,N
add_line_info,imp.strlen,High-High,Y,N,N,N,N
add_symbols,bfd_alloc,High-High,Y,N,N,N,N
add_symbols_v2,bfd_alloc,High-High,Y,N,N,N,N
adjust_relative_path,getpwd,High-High,Y,N,N,N,N
adjust_relative_path,lrealpath,High-High,Y,N,N,N,N
already_linked_newfunc,bfd_hash_allocate,High-High,Y,N,N,N,N
append_offsetmap,bfd_realloc,High-High,Y,N,N,N,N
apply_reloc,read_reloc,High-High,Y,N,N,N,N
arange_add,bfd_alloc,High-High,Y,N,N,N,N
archive_close_worker,bfd_close_all_done,High-High,Y,N,N,N,N
bfd_abort,dcgettext,High-High,N,N,Y,N,N
bfd_abort,exit,High-High,N,N,Y,N,N
bfd_abort,fflush,High-High,N,N,Y,N,N
bfd_abort,fprintf_chk,High-High,N,N,Y,N,N
bfd_abort,imp.__fprintf_chk,High-High,Y,N,N,N,N
bfd_abort,imp._exit,High-High,Y,N,N,N,N
bfd_abort,imp.dcgettext,High-High,Y,N,N,N,N
bfd_abort,imp.fflush,High-High,Y,N,N,N,N
bfd_alloc,bfd_set_error,High-High,Y,N,Y,N,N
bfd_alloc,objalloc_alloc,High-High,Y,N,Y,N,N
bfd_ar_sizepad,bfd_set_error,High-High,Y,N,N,N,N
bfd_ar_sizepad,imp.__snprintf_chk,High-High,Y,N,N,N,N
bfd_ar_sizepad,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_ar_sizepad,imp.memcpy,High-High,Y,N,N,N,N
bfd_ar_sizepad,imp.memset,High-High,Y,N,N,N,N
bfd_ar_sizepad,imp.strlen,High-High,Y,N,N,N,N
bfd_ar_spacepad,imp.__snprintf_chk,High-High,Y,N,N,N,N
bfd_ar_spacepad,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_ar_spacepad,imp.memcpy,High-High,Y,N,N,N,N
bfd_ar_spacepad,imp.memset,High-High,Y,N,N,N,N
bfd_ar_spacepad,imp.strlen,High-High,Y,N,N,N,N
bfd_arch_i386_fill,bfd_malloc,High-High,Y,N,N,N,N
bfd_arch_i386_fill,imp.memset,High-High,Y,N,N,N,N
bfd_arch_list,bfd_malloc,High-High,Y,N,N,N,N
bfd_archive_64_bit_write_armap,bfd_ar_sizepad,High-High,Y,N,N,N,N
bfd_archive_64_bit_write_armap,bfd_ar_spacepad,High-High,Y,N,N,N,N
bfd_archive_64_bit_write_armap,bfd_get_current_time,High-High,Y,N,N,N,N
bfd_archive_64_bit_write_armap,bfd_putb64,High-High,Y,N,N,N,N
bfd_archive_64_bit_write_armap,bfd_write,High-High,Y,N,N,N,N
bfd_archive_64_bit_write_armap,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_archive_64_bit_write_armap,imp.strlen,High-High,Y,N,N,N,N
bfd_asprintf,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_asprintf,imp.__vasprintf_chk,High-High,Y,N,N,N,N
bfd_assert,dcgettext,High-High,N,N,Y,N,N
bfd_assert,imp.dcgettext,High-High,Y,N,N,N,N
bfd_bool_bfd_false_error,bfd_set_error,High-High,Y,N,N,N,N
bfd_bool_bfd_link_false_error,bfd_set_error,High-High,Y,N,N,N,N
bfd_bsd44_write_ar_hdr,bfd_ar_sizepad,High-High,Y,N,N,N,N
bfd_bsd44_write_ar_hdr,bfd_assert,High-High,Y,N,N,N,N
bfd_bsd44_write_ar_hdr,bfd_write,High-High,Y,N,N,N,N
bfd_bsd44_write_ar_hdr,imp.strlen,High-High,Y,N,N,N,N
bfd_bsd44_write_ar_hdr,lbasename,High-High,Y,N,N,N,N
bfd_bsd_write_armap,bfd_ar_sizepad,High-High,Y,N,N,N,N
bfd_bsd_write_armap,bfd_ar_spacepad,High-High,Y,N,N,N,N
bfd_bsd_write_armap,bfd_get_current_time,High-High,Y,N,N,N,N
bfd_bsd_write_armap,bfd_set_error,High-High,Y,N,N,N,N
bfd_bsd_write_armap,bfd_write,High-High,Y,N,N,N,N
bfd_bsd_write_armap,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_bsd_write_armap,imp.getgid,High-High,Y,N,N,N,N
bfd_bsd_write_armap,imp.getuid,High-High,Y,N,N,N,N
bfd_bsd_write_armap,imp.stat,High-High,Y,N,N,N,N
bfd_bsd_write_armap,imp.strlen,High-High,Y,N,N,N,N
bfd_cache_close,bfd_cache_delete,High-High,Y,N,Y,N,N
bfd_cache_close,bfd_lock,High-High,Y,N,Y,N,N
bfd_cache_close,bfd_unlock,High-High,Y,N,Y,N,N
bfd_cache_close_all,bfd_cache_delete,High-High,Y,N,N,N,N
bfd_cache_close_all,bfd_lock,High-High,Y,N,N,N,N
bfd_cache_close_all,bfd_unlock,High-High,Y,N,N,N,N
bfd_cache_delete,bfd_assert,High-High,Y,N,Y,N,N
bfd_cache_delete,bfd_set_error,High-High,Y,N,Y,N,N
bfd_cache_delete,fclose,High-High,N,N,Y,N,N
bfd_cache_delete,imp.fclose,High-High,Y,N,N,N,N
bfd_cache_init,bfd_cache_init_unlocked,High-High,Y,N,N,N,N
bfd_cache_init,bfd_lock,High-High,Y,N,N,N,N
bfd_cache_init,bfd_unlock,High-High,Y,N,N,N,N
bfd_cache_init_unlocked,bfd_assert,High-High,Y,N,Y,N,N
bfd_cache_init_unlocked,bfd_cache_max_open,High-High,Y,N,Y,N,N
bfd_cache_init_unlocked,close_one,High-High,Y,N,Y,N,N
bfd_cache_max_open,getrlimit,High-High,N,N,Y,N,N
bfd_cache_max_open,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_cache_max_open,imp.getrlimit,High-High,Y,N,N,N,N
bfd_cache_max_open,imp.sysconf,High-High,Y,N,N,N,N
bfd_cache_max_open,stack_chk_fail,High-High,N,N,Y,N,N
bfd_cache_max_open,sysconf,High-High,N,N,Y,N,N
bfd_check_format,bfd_check_format_matches,High-High,N,Y,N,N,N
bfd_check_format_matches,bfd_alloc,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_assert,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_cache_close,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_get_error,High-High,Y,Y,Y,N,N
bfd_check_format_matches,bfd_hash_table_free,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_hash_table_init,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_lock,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_malloc,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_open_file,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_plugin_target_p,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_release,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_restore_error_handler_caching,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_seek,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_set_error,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_set_error_handler_caching,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_set_lto_type,High-High,Y,N,Y,N,N
bfd_check_format_matches,bfd_unlock,High-High,Y,N,Y,N,N
bfd_check_format_matches,free,High-High,N,Y,Y,N,N
bfd_check_format_matches,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_check_format_matches,imp.memcpy,High-High,Y,N,N,N,N
bfd_check_format_matches,memcpy,High-High,N,N,Y,N,N
bfd_check_format_matches,print_and_clear_messages,High-High,Y,N,Y,N,N
bfd_check_format_matches,stack_chk_fail,High-High,N,Y,Y,N,N
bfd_check_overflow,bfd_abort,High-High,Y,N,N,N,N
bfd_clear_contents,imp.strcmp,High-High,Y,N,N,N,N
bfd_clear_contents,read_reloc,High-High,Y,N,N,N,N
bfd_clear_contents,write_reloc,High-High,Y,N,N,N,N
bfd_close,bfd_close_all_done,High-High,Y,N,Y,N,N
bfd_close_all_done,bfd_delete_bfd,High-High,Y,N,Y,N,N
bfd_close_all_done,chmod,High-High,N,N,Y,N,N
bfd_close_all_done,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_close_all_done,imp.chmod,High-High,Y,N,N,N,N
bfd_close_all_done,imp.stat,High-High,Y,N,N,N,N
bfd_close_all_done,imp.umask,High-High,Y,N,N,N,N
bfd_close_all_done,stack_chk_fail,High-High,N,N,Y,N,N
bfd_close_all_done,stat,High-High,N,N,Y,N,N
bfd_close_all_done,umask,High-High,N,N,Y,N,N
bfd_coff_debug_merge_hash_newfunc,bfd_hash_allocate,High-High,Y,N,N,N,N
bfd_coff_debug_merge_hash_newfunc,bfd_hash_newfunc,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_assert,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_coff_link_input_bfd,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_hash_lookup,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_hash_table_free,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_hash_table_init,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_hash_traverse,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_malloc,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_seek,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_stringtab_add,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_stringtab_emit,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_stringtab_free,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_stringtab_init,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_stringtab_size,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_write,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_write_stab_strings,High-High,Y,N,N,N,N
bfd_coff_final_link,bfd_zalloc,High-High,Y,N,N,N,N
bfd_coff_final_link,coff_write_alien_symbol,High-High,Y,N,N,N,N
bfd_coff_final_link,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_coff_final_link,imp.strlen,High-High,Y,N,N,N,N
bfd_coff_gc_sections,bfd_error_handler,High-High,Y,N,N,N,N
bfd_coff_gc_sections,bfd_link_hash_lookup,High-High,Y,N,N,N,N
bfd_coff_gc_sections,imp.dcgettext,High-High,Y,N,N,N,N
bfd_coff_gc_sections,imp.strncmp,High-High,Y,N,N,N,N
bfd_coff_link_hash_table_init,bfd_hash_table_init,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_abort,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_alloc,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_assert,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_coff_read_internal_relocs,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_coff_read_string_table,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_error,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_error_handler,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_hash_lookup,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_octets_per_byte,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_read,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_release,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_seek,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_set_error,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_stringtab_add,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_write,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,bfd_write_section_stabs,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,imp.__isoc23_strtoul,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,imp.__stack_chk_fail,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,imp.dcgettext,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,imp.memset,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,imp.strcmp,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,imp.strcpy,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,imp.strlen,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,imp.strncmp,High-High,Y,N,N,N,N
bfd_coff_link_input_bfd,rflags,High-High,Y,N,N,N,N
bfd_coff_read_internal_relocs,bfd_malloc,High-High,Y,N,N,N,N
bfd_coff_read_internal_relocs,bfd_read,High-High,Y,N,N,N,N
bfd_coff_read_internal_relocs,bfd_seek,High-High,Y,N,N,N,N
bfd_coff_read_internal_relocs,bfd_zalloc,High-High,Y,N,N,N,N
bfd_coff_read_internal_relocs,imp.memcpy,High-High,Y,N,N,N,N
bfd_coff_read_string_table,bfd_error_handler,High-High,Y,N,N,N,N
bfd_coff_read_string_table,bfd_get_error,High-High,Y,N,N,N,N
bfd_coff_read_string_table,bfd_get_file_size,High-High,Y,N,N,N,N
bfd_coff_read_string_table,bfd_malloc,High-High,Y,N,N,N,N
bfd_coff_read_string_table,bfd_read,High-High,Y,N,N,N,N
bfd_coff_read_string_table,bfd_seek,High-High,Y,N,N,N,N
bfd_coff_read_string_table,bfd_set_error,High-High,Y,N,N,N,N
bfd_coff_read_string_table,imp.__stack_chk_fail,High-High,Y,N,N,N,N
