Caller,Callee,Call Type,Radare2,Ghidra,Angr_Fast,Angr_Emul
ada_demangle,imp.strlen,High-High,✓,✗,✗,✗
ada_demangle,imp.strncmp,High-High,✓,✗,✗,✗
ada_demangle,xmalloc,High-High,✓,✗,✗,✗
add_line_info,bfd_alloc,High-High,✓,✗,✗,✗
add_line_info,bfd_malloc,High-High,✓,✗,✗,✗
add_line_info,imp.strcpy,High-High,✓,✗,✗,✗
add_line_info,imp.strlen,High-High,✓,✗,✗,✗
add_symbols,bfd_alloc,High-High,✓,✗,✗,✗
add_symbols_v2,bfd_alloc,High-High,✓,✗,✗,✗
adjust_relative_path,getpwd,High-High,✓,✗,✗,✗
adjust_relative_path,lrealpath,High-High,✓,✗,✗,✗
already_linked_newfunc,bfd_hash_allocate,High-High,✓,✗,✗,✗
append_offsetmap,bfd_realloc,High-High,✓,✗,✗,✗
apply_reloc,read_reloc,High-High,✓,✗,✗,✗
arange_add,bfd_alloc,High-High,✓,✗,✗,✗
archive_close_worker,bfd_close_all_done,High-High,✓,✗,✗,✗
bfd_abort,dcgettext,High-High,✗,✗,✓,✓
bfd_abort,exit,High-High,✗,✗,✓,✓
bfd_abort,fflush,High-High,✗,✗,✓,✓
bfd_abort,fprintf_chk,High-High,✗,✗,✓,✓
bfd_abort,imp.__fprintf_chk,High-High,✓,✗,✗,✗
bfd_abort,imp._exit,High-High,✓,✗,✗,✗
bfd_abort,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_abort,imp.fflush,High-High,✓,✗,✗,✗
bfd_alloc,bfd_set_error,High-High,✓,✗,✗,✗
bfd_alloc,objalloc_alloc,High-High,✓,✗,✗,✗
bfd_ar_sizepad,bfd_set_error,High-High,✓,✗,✗,✗
bfd_ar_sizepad,imp.__snprintf_chk,High-High,✓,✗,✗,✗
bfd_ar_sizepad,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_ar_sizepad,imp.memcpy,High-High,✓,✗,✗,✗
bfd_ar_sizepad,imp.memset,High-High,✓,✗,✗,✗
bfd_ar_sizepad,imp.strlen,High-High,✓,✗,✗,✗
bfd_ar_spacepad,imp.__snprintf_chk,High-High,✓,✗,✗,✗
bfd_ar_spacepad,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_ar_spacepad,imp.memcpy,High-High,✓,✗,✗,✗
bfd_ar_spacepad,imp.memset,High-High,✓,✗,✗,✗
bfd_ar_spacepad,imp.strlen,High-High,✓,✗,✗,✗
bfd_arch_i386_fill,bfd_malloc,High-High,✓,✗,✗,✗
bfd_arch_i386_fill,imp.memset,High-High,✓,✗,✗,✗
bfd_arch_list,bfd_malloc,High-High,✓,✗,✗,✗
bfd_archive_64_bit_write_armap,bfd_ar_sizepad,High-High,✓,✗,✗,✗
bfd_archive_64_bit_write_armap,bfd_ar_spacepad,High-High,✓,✗,✗,✗
bfd_archive_64_bit_write_armap,bfd_get_current_time,High-High,✓,✗,✗,✗
bfd_archive_64_bit_write_armap,bfd_putb64,High-High,✓,✗,✗,✗
bfd_archive_64_bit_write_armap,bfd_write,High-High,✓,✗,✗,✗
bfd_archive_64_bit_write_armap,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_archive_64_bit_write_armap,imp.strlen,High-High,✓,✗,✗,✗
bfd_asprintf,free,High-High,✗,✗,✗,✓
bfd_asprintf,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_asprintf,imp.__vasprintf_chk,High-High,✓,✗,✗,✗
bfd_asprintf,stack_chk_fail,High-High,✗,✗,✗,✓
bfd_asprintf,vasprintf_chk,High-High,✗,✗,✗,✓
bfd_assert,imp.dcgettext,High-High,✓,✗,✗,✗
bfd_bool_bfd_false_error,bfd_set_error,High-High,✓,✗,✗,✗
bfd_bool_bfd_link_false_error,bfd_set_error,High-High,✓,✗,✗,✗
bfd_bsd44_write_ar_hdr,bfd_ar_sizepad,High-High,✓,✗,✗,✗
bfd_bsd44_write_ar_hdr,bfd_assert,High-High,✓,✗,✗,✗
bfd_bsd44_write_ar_hdr,bfd_write,High-High,✓,✗,✗,✗
bfd_bsd44_write_ar_hdr,imp.strlen,High-High,✓,✗,✗,✗
bfd_bsd44_write_ar_hdr,lbasename,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,bfd_ar_sizepad,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,bfd_ar_spacepad,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,bfd_get_current_time,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,bfd_set_error,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,bfd_write,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,imp.getgid,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,imp.getuid,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,imp.stat,High-High,✓,✗,✗,✗
bfd_bsd_write_armap,imp.strlen,High-High,✓,✗,✗,✗
bfd_cache_close,bfd_cache_delete,High-High,✓,✗,✗,✗
bfd_cache_close,bfd_lock,High-High,✓,✗,✗,✗
bfd_cache_close,bfd_unlock,High-High,✓,✗,✗,✗
bfd_cache_close_all,bfd_cache_delete,High-High,✓,✗,✗,✗
bfd_cache_close_all,bfd_lock,High-High,✓,✗,✗,✗
bfd_cache_close_all,bfd_unlock,High-High,✓,✗,✗,✗
bfd_cache_delete,bfd_assert,High-High,✓,✗,✗,✗
bfd_cache_delete,bfd_set_error,High-High,✓,✗,✗,✗
bfd_cache_delete,imp.fclose,High-High,✓,✗,✗,✗
bfd_cache_init,bfd_cache_init_unlocked,High-High,✓,✗,✗,✗
bfd_cache_init,bfd_lock,High-High,✓,✗,✗,✗
bfd_cache_init,bfd_unlock,High-High,✓,✗,✗,✗
bfd_cache_init_unlocked,bfd_assert,High-High,✓,✗,✗,✗
bfd_cache_init_unlocked,bfd_cache_max_open,High-High,✓,✗,✗,✗
bfd_cache_init_unlocked,close_one,High-High,✓,✗,✗,✗
bfd_cache_max_open,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_cache_max_open,imp.getrlimit,High-High,✓,✗,✗,✗
bfd_cache_max_open,imp.sysconf,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_alloc,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_assert,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_cache_close,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_get_error,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_hash_table_free,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_hash_table_init,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_lock,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_malloc,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_open_file,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_plugin_target_p,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_release,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_restore_error_handler_caching,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_seek,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_set_error,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_set_error_handler_caching,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_set_lto_type,High-High,✓,✗,✗,✗
bfd_check_format_matches,bfd_unlock,High-High,✓,✗,✗,✗
bfd_check_format_matches,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_check_format_matches,imp.memcpy,High-High,✓,✗,✗,✗
bfd_check_format_matches,print_and_clear_messages,High-High,✓,✗,✗,✗
bfd_check_overflow,bfd_abort,High-High,✓,✗,✗,✗
bfd_clear_contents,imp.strcmp,High-High,✓,✗,✗,✗
bfd_clear_contents,read_reloc,High-High,✓,✗,✗,✗
bfd_clear_contents,write_reloc,High-High,✓,✗,✗,✗
bfd_close,bfd_close_all_done,High-High,✓,✗,✓,✓
bfd_close_all_done,bfd_delete_bfd,High-High,✓,✗,✓,✓
bfd_close_all_done,chmod,High-High,✗,✗,✓,✓
bfd_close_all_done,imp.__stack_chk_fail,High-High,✓,✗,✗,✗
bfd_close_all_done,imp.chmod,High-High,✓,✗,✗,✗
bfd_close_all_done,imp.stat,High-High,✓,✗,✗,✗
bfd_close_all_done,imp.umask,High-High,✓,✗,✗,✗
bfd_close_all_done,stack_chk_fail,High-High,✗,✗,✓,✓
bfd_close_all_done,stat,High-High,✗,✗,✓,✓
bfd_close_all_done,umask,High-High,✗,✗,✓,✓
bfd_coff_debug_merge_hash_newfunc,bfd_hash_allocate,High-High,✓,✗,✗,✗
bfd_coff_debug_merge_hash_newfunc,bfd_hash_newfunc,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_assert,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_coff_link_input_bfd,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_hash_lookup,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_hash_table_free,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_hash_table_init,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_hash_traverse,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_malloc,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_seek,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_add,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_emit,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_free,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_init,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_stringtab_size,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_write,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_write_stab_strings,High-High,✓,✗,✗,✗
bfd_coff_final_link,bfd_zalloc,High-High,✓,✗,✗,✗
bfd_coff_final_link,coff_write_alien_symbol,High-High,✓,✗,✗,✗
