Function Name,Category,Radare2,Ghidra,Angr_Fast,Angr_Emul
ada_demangle,High-Level,✓,✗,✗,✗
add_data_entry,High-Level,✓,✗,✗,✗
add_line_info,High-Level,✓,✗,✗,✗
add_symbols,High-Level,✓,✗,✗,✗
add_symbols_v2,High-Level,✓,✗,✗,✗
adjust_relative_path,High-Level,✓,✗,✗,✗
adler32,High-Level,✓,✗,✗,✗
already_linked_newfunc,High-Level,✓,✗,✗,✗
append_offsetmap,High-Level,✓,✗,✗,✗
apply_reloc,High-Level,✓,✗,✗,✗
arange_add,High-Level,✓,✗,✗,✗
archive_close_worker,High-Level,✓,✗,✗,✗
basic_type,High-Level,✓,✗,✗,✗
bfd_abort,High-Level,✓,✗,✓,✓
bfd_alloc,High-Level,✓,✗,✗,✗
bfd_ar_sizepad,High-Level,✓,✗,✗,✗
bfd_ar_spacepad,High-Level,✓,✗,✗,✗
bfd_arch_i386_fill,High-Level,✓,✗,✗,✗
bfd_arch_list,High-Level,✓,✗,✗,✗
bfd_archive_64_bit_write_armap,High-Level,✓,✗,✗,✗
bfd_asprintf,High-Level,✓,✗,✗,✓
bfd_assert,High-Level,✓,✗,✗,✗
bfd_bool_bfd_false_error,High-Level,✓,✗,✗,✗
bfd_bool_bfd_link_false_error,High-Level,✓,✗,✗,✗
bfd_bsd44_write_ar_hdr,High-Level,✓,✗,✗,✗
bfd_bsd_write_armap,High-Level,✓,✗,✗,✗
bfd_cache_close,High-Level,✓,✗,✗,✗
bfd_cache_close_all,High-Level,✓,✗,✗,✗
bfd_cache_delete,High-Level,✓,✗,✗,✗
bfd_cache_init,High-Level,✓,✗,✗,✗
bfd_cache_init_unlocked,High-Level,✓,✗,✗,✗
bfd_cache_max_open,High-Level,✓,✗,✗,✗
bfd_check_format,High-Level,✓,✓,✓,✓
bfd_check_format_matches,High-Level,✓,✗,✗,✗
bfd_check_overflow,High-Level,✓,✗,✗,✗
bfd_clear_contents,High-Level,✓,✗,✗,✗
bfd_close,High-Level,✓,✓,✓,✓
bfd_close_all_done,High-Level,✓,✗,✓,✓
bfd_coff_debug_merge_hash_newfunc,High-Level,✓,✗,✗,✗
bfd_coff_final_link,High-Level,✓,✗,✗,✗
bfd_coff_gc_sections,High-Level,✓,✗,✗,✗
bfd_coff_link_hash_table_init,High-Level,✓,✗,✗,✗
bfd_coff_link_input_bfd,High-Level,✓,✗,✗,✗
bfd_coff_read_internal_relocs,High-Level,✓,✗,✗,✗
bfd_coff_read_string_table,High-Level,✓,✗,✗,✗
bfd_coff_section_already_linked,High-Level,✓,✗,✗,✗
bfd_coff_write_armap,High-Level,✓,✗,✗,✗
bfd_coff_write_global_sym,High-Level,✓,✗,✗,✗
bfd_coff_write_task_globals,High-Level,✓,✗,✗,✗
bfd_compress_section,High-Level,✓,✗,✗,✗
bfd_compute_and_write_armap,High-Level,✓,✗,✗,✗
bfd_convert_section_setup,High-Level,✓,✗,✗,✗
bfd_core_file_failing_command,High-Level,✓,✗,✗,✗
bfd_core_file_failing_signal,High-Level,✓,✗,✗,✗
bfd_core_file_pid,High-Level,✓,✗,✗,✗
bfd_create,High-Level,✓,✗,✗,✗
bfd_create_gnu_debuglink_section,High-Level,✓,✗,✗,✗
