Function Name,Category,Radare2,Ghidra,Angr_Fast,Angr_Emul
0002e6e0,Low-Level,✓,✗,✗,✗
0002e6f0,Low-Level,✓,✗,✗,✗
0002e700,Low-Level,✓,✗,✗,✗
0x108,Low-Level,✓,✗,✗,✗
0x110,Low-Level,✓,✗,✗,✗
0x118,Low-Level,✓,✗,✗,✗
0x120,Low-Level,✓,✗,✗,✗
0x128,Low-Level,✓,✗,✗,✗
0x138,Low-Level,✓,✗,✗,✗
0x140,Low-Level,✓,✗,✗,✗
0x148,Low-Level,✓,✗,✗,✗
0x150,Low-Level,✓,✗,✗,✗
0x160,Low-Level,✓,✗,✗,✗
0x178,Low-Level,✓,✗,✗,✗
0x18,Low-Level,✓,✗,✗,✗
0x188,Low-Level,✓,✗,✗,✗
0x198,Low-Level,✓,✗,✗,✗
0x1a0,Low-Level,✓,✗,✗,✗
0x1a8,Low-Level,✓,✗,✗,✗
0x1b0,Low-Level,✓,✗,✗,✗
0x1b8,Low-Level,✓,✗,✗,✗
0x1c0,Low-Level,✓,✗,✗,✗
0x1c8,Low-Level,✓,✗,✗,✗
0x1d0,Low-Level,✓,✗,✗,✗
0x1d8,Low-Level,✓,✗,✗,✗
0x1e0,Low-Level,✓,✗,✗,✗
0x1e8,Low-Level,✓,✗,✗,✗
0x1f0,Low-Level,✓,✗,✗,✗
0x1f8,Low-Level,✓,✗,✗,✗
0x20,Low-Level,✓,✗,✗,✗
0x200,Low-Level,✓,✗,✗,✗
0x220,Low-Level,✓,✗,✗,✗
0x230,Low-Level,✓,✗,✗,✗
0x250,Low-Level,✓,✗,✗,✗
0x258,Low-Level,✓,✗,✗,✗
0x268,Low-Level,✓,✗,✗,✗
0x270,Low-Level,✓,✗,✗,✗
0x278,Low-Level,✓,✗,✗,✗
0x28,Low-Level,✓,✗,✗,✗
0x290,Low-Level,✓,✗,✗,✗
0x298,Low-Level,✓,✗,✗,✗
0x2a0,Low-Level,✓,✗,✗,✗
0x2b0,Low-Level,✓,✗,✗,✗
0x2c8,Low-Level,✓,✗,✗,✗
0x2d0,Low-Level,✓,✗,✗,✗
0x2d8,Low-Level,✓,✗,✗,✗
0x2e0,Low-Level,✓,✗,✗,✗
0x2e8,Low-Level,✓,✗,✗,✗
0x2f0,Low-Level,✓,✗,✗,✗
0x300,Low-Level,✓,✗,✗,✗
0x310,Low-Level,✓,✗,✗,✗
0x318,Low-Level,✓,✗,✗,✗
0x320,Low-Level,✓,✗,✗,✗
0x328,Low-Level,✓,✗,✗,✗
0x348,Low-Level,✓,✗,✗,✗
0x350,Low-Level,✓,✗,✗,✗
0x360,Low-Level,✓,✗,✗,✗
0x368,Low-Level,✓,✗,✗,✗
0x378,Low-Level,✓,✗,✗,✗
0x38,Low-Level,✓,✗,✗,✗
0x390,Low-Level,✓,✗,✗,✗
0x3c0,Low-Level,✓,✗,✗,✗
0x3d0,Low-Level,✓,✗,✗,✗
0x3d8,Low-Level,✓,✗,✗,✗
0x3e0,Low-Level,✓,✗,✗,✗
0x48,Low-Level,✓,✗,✗,✗
0x50,Low-Level,✓,✗,✗,✗
0x58,Low-Level,✓,✗,✗,✗
0x60,Low-Level,✓,✗,✗,✗
0x68,Low-Level,✓,✗,✗,✗
0x70,Low-Level,✓,✗,✗,✗
0x78,Low-Level,✓,✗,✗,✗
0x80,Low-Level,✓,✗,✗,✗
0x878,Low-Level,✓,✗,✗,✗
0x88,Low-Level,✓,✗,✗,✗
0x880,Low-Level,✓,✗,✗,✗
0x8c8,Low-Level,✓,✗,✗,✗
0x8d0,Low-Level,✓,✗,✗,✗
0x8d8,Low-Level,✓,✗,✗,✗
0x90,Low-Level,✓,✗,✗,✗
0x98,Low-Level,✓,✗,✗,✗
0xa0,Low-Level,✓,✗,✗,✗
0xa8,Low-Level,✓,✗,✗,✗
0xb0,Low-Level,✓,✗,✗,✗
0xb8,Low-Level,✓,✗,✗,✗
0xc0,Low-Level,✓,✗,✗,✗
0xc8,Low-Level,✓,✗,✗,✗
0xd0,Low-Level,✓,✗,✗,✗
0xd8,Low-Level,✓,✗,✗,✗
0xe0,Low-Level,✓,✗,✗,✗
0xe8,Low-Level,✓,✗,✗,✗
0xf0,Low-Level,✓,✗,✗,✗
0xf8,Low-Level,✓,✗,✗,✗
UnresolvableCallTarget,Low-Level,✗,✗,✓,✗
bfd_add_bfd_to_archive_cache,Low-Level,✓,✗,✗,✗
bfd_add_merge_section,Low-Level,✓,✗,✗,✗
bfd_append_relative_path,Low-Level,✓,✗,✗,✗
bfd_arch_bits_per_address,Low-Level,✓,✗,✗,✗
bfd_arch_bits_per_byte,Low-Level,✓,✗,✗,✗
bfd_arch_default_fill,Low-Level,✓,✗,✗,✗
bfd_arch_get_compatible,Low-Level,✓,✗,✗,✗
bfd_archive_64_bit_slurp_armap,Low-Level,✓,✗,✗,✗
bfd_archive_bsd44_construct_extended_name_table,Low-Level,✓,✗,✗,✗
bfd_archive_bsd_update_armap_timestamp,Low-Level,✓,✗,✗,✗
bfd_archive_close_and_cleanup,Low-Level,✓,✗,✗,✗
bfd_bsd_truncate_arname,Low-Level,✓,✗,✗,✗
bfd_cache_lookup_worker,Low-Level,✓,✗,✗,✗
bfd_cache_set_uncloseable,Low-Level,✓,✗,✗,✗
bfd_canonicalize_reloc,Low-Level,✓,✗,✗,✗
bfd_check_compression_header,Low-Level,✓,✗,✗,✗
bfd_coff_free_cached_info,Low-Level,✓,✗,✗,✗
bfd_coff_free_symbols,Low-Level,✓,✗,✗,✗
bfd_coff_gc_mark.constprop.0,Low-Level,✓,✗,✗,✗
