Function Name,Radare2,Ghidra,Angr_Fast,Angr_Emul
0002e6e0,✓,✗,✗,✗
0002e6f0,✓,✗,✗,✗
0002e700,✓,✗,✗,✗
0x108,✓,✗,✗,✗
0x110,✓,✗,✗,✗
0x118,✓,✗,✗,✗
0x120,✓,✗,✗,✗
0x128,✓,✗,✗,✗
0x138,✓,✗,✗,✗
0x140,✓,✗,✗,✗
0x148,✓,✗,✗,✗
0x150,✓,✗,✗,✗
0x160,✓,✗,✗,✗
0x178,✓,✗,✗,✗
0x18,✓,✗,✗,✗
0x188,✓,✗,✗,✗
0x198,✓,✗,✗,✗
0x1a0,✓,✗,✗,✗
0x1a8,✓,✗,✗,✗
0x1b0,✓,✗,✗,✗
0x1b8,✓,✗,✗,✗
0x1c0,✓,✗,✗,✗
0x1c8,✓,✗,✗,✗
0x1d0,✓,✗,✗,✗
0x1d8,✓,✗,✗,✗
0x1e0,✓,✗,✗,✗
0x1e8,✓,✗,✗,✗
0x1f0,✓,✗,✗,✗
0x1f8,✓,✗,✗,✗
0x20,✓,✗,✗,✗
0x200,✓,✗,✗,✗
0x220,✓,✗,✗,✗
0x230,✓,✗,✗,✗
0x250,✓,✗,✗,✗
0x258,✓,✗,✗,✗
0x268,✓,✗,✗,✗
0x270,✓,✗,✗,✗
0x278,✓,✗,✗,✗
0x28,✓,✗,✗,✗
0x290,✓,✗,✗,✗
0x298,✓,✗,✗,✗
0x2a0,✓,✗,✗,✗
0x2b0,✓,✗,✗,✗
0x2c8,✓,✗,✗,✗
0x2d0,✓,✗,✗,✗
0x2d8,✓,✗,✗,✗
0x2e0,✓,✗,✗,✗
0x2e8,✓,✗,✗,✗
0x2f0,✓,✗,✗,✗
0x300,✓,✗,✗,✗
0x310,✓,✗,✗,✗
0x318,✓,✗,✗,✗
0x320,✓,✗,✗,✗
0x328,✓,✗,✗,✗
0x348,✓,✗,✗,✗
0x350,✓,✗,✗,✗
0x360,✓,✗,✗,✗
0x368,✓,✗,✗,✗
0x378,✓,✗,✗,✗
0x38,✓,✗,✗,✗
0x390,✓,✗,✗,✗
0x3c0,✓,✗,✗,✗
0x3d0,✓,✗,✗,✗
0x3d8,✓,✗,✗,✗
0x3e0,✓,✗,✗,✗
0x48,✓,✗,✗,✗
0x50,✓,✗,✗,✗
0x58,✓,✗,✗,✗
0x60,✓,✗,✗,✗
0x68,✓,✗,✗,✗
0x70,✓,✗,✗,✗
0x78,✓,✗,✗,✗
0x80,✓,✗,✗,✗
0x878,✓,✗,✗,✗
0x88,✓,✗,✗,✗
0x880,✓,✗,✗,✗
0x8c8,✓,✗,✗,✗
0x8d0,✓,✗,✗,✗
0x8d8,✓,✗,✗,✗
0x90,✓,✗,✗,✗
0x98,✓,✗,✗,✗
0xa0,✓,✗,✗,✗
0xa8,✓,✗,✗,✗
0xb0,✓,✗,✗,✗
0xb8,✓,✗,✗,✗
0xc0,✓,✗,✗,✗
0xc8,✓,✗,✗,✗
0xd0,✓,✗,✗,✗
0xd8,✓,✗,✗,✗
0xe0,✓,✗,✗,✗
0xe8,✓,✗,✗,✗
0xf0,✓,✗,✗,✗
0xf8,✓,✗,✗,✗
UnresolvableCallTarget,✗,✗,✓,✗
ada_demangle,✓,✗,✗,✗
add_data_entry,✓,✗,✗,✗
add_line_info,✓,✗,✗,✗
add_symbols,✓,✗,✗,✗
add_symbols_v2,✓,✗,✗,✗
adjust_relative_path,✓,✗,✗,✗
adler32,✓,✗,✗,✗
already_linked_newfunc,✓,✗,✗,✗
append_offsetmap,✓,✗,✗,✗
apply_reloc,✓,✗,✗,✗
arange_add,✓,✗,✗,✗
archive_close_worker,✓,✗,✗,✗
basic_type,✓,✗,✗,✗
bfd_abort,✓,✗,✓,✓
bfd_add_bfd_to_archive_cache,✓,✗,✗,✗
bfd_add_merge_section,✓,✗,✗,✗
